siren,denomination,naf_code,effectif,ville,anciennete,taux_chomage,croissance_pib,target_defaut
325855823,SARL L'HERMINE,47.77Z,,MARSEILLE 6,44,,,0
325855930,ENTRE GENER CONSTRUCTION MACONNERIE,45.4A,,MARSEILLE,44,,,0
325855989,HOIRIE MAROUX JEAN LOUIS,47.22Z,,MARSEILLE,44,,,0
325855997,SOC GENERALE DE RENOVATION D'IMMEUBLES,55.60,,MARSEILLE,44,,,0
325875771,GEVILOR,52.2C,,MARSEILLE,44,,,0
325875771,GEVILOR,52.2C,,AIX-EN-PROVENCE,44,,,0
325878775,,68.20B,,AIX-EN-PROVENCE,44,,,0
325892735,MODA MUOVA SOC EXPL NOUV HABI,64.11,,MARSEILLE 1,44,,,0
325892776,GIORDANO MINGASSON,85.1E,,MARSEILLE 3,44,,,0
325906741,CHICANE,68.32A,1-2,MARSEILLE,44,,,0
325906741,CHICANE,68.32A,1-2,MARSEILLE,44,,,0
325906873,ASSOC LE PETIT SEMINAIRE,95.11,,MARSEILLE 13,44,,,0
325913796,,86.21Z,,MARSEILLE,45,,,0
325913804,,67.01,,MARSEILLE,126,,,0
325918969,SARL ARKI,50.5Z,,MARSEILLE 3,44,,,0
325930238,SOCIETE ANGLO PROVENCALE D'AMEUBLEMENT,47.59A,,MARSEILLE,44,,,0
325930246,SOMAREX,73.07,,MARSEILLE,44,,,0
325930279,KRINGS INTERNATIONAL FRANCE,46.63Z,10-19,MARSEILLE,44,,,0
325934354,,86.90D,,MARSEILLE,44,,,0
325934396,,69.20Z,,MARSEILLE,44,,,0
325934420,,45.4F,,MARSEILLE,44,,,0
325953446,,67.01,,AIX-EN-PROVENCE,126,,,0
325953701,,67.01,,MARSEILLE 8,126,,,0
325962066,SOC EXPL ETS AUDAN PELISSIER,36.6A,,MARSEILLE 1,61,,,0
325978534,,52.2C,,MARSEILLE,44,,,0
325978559,,86.90D,,MARSEILLE,44,,,0
325988533,,96.02A,,MARSEILLE,126,,,0
325993947,SOCIETE GESTION ENGENEERING IMMOBILIER,74.2C,,MARSEILLE 6,44,,,0
325998722,,38.40,,MARSEILLE,44,,,0
325999001,,85.59A,,MARSEILLE,44,,,0
325999019,,45.20A,1-2,MARSEILLE,26,,,0
326015161,GARAGE CHARRAS,65.02,,MARSEILLE,44,,,0
326019775,DU PAREIL AU MEME,47.71Z,500-999,MARSEILLE,44,,,0
326022365,,45.1A,,SAINT-MARC-JAUMEGARDE,29,,,0
326026853,SARL BUMER,87.08,,MARSEILLE 8,44,,,0
326030152,,64.11,,MARSEILLE,44,,,0
326035003,SOC EXPL CLINIQUE LA JAUBERTE,84.03,,AIX-EN-PROVENCE,43,,,0
326037637,SA SECURITE DETECTION INTERVENTION,74.6Z,,MARSEILLE,44,,,0
326037637,SA SECURITE DETECTION INTERVENTION,74.6Z,,MARSEILLE,44,,,0
326058690,,86.90D,,AIX-EN-PROVENCE,44,,,0
326058955,,74.2C,,MARSEILLE,44,,,0
326059052,,56.30Z,,MARSEILLE,44,,,0
326083482,SEFRA,68.20B,,MARSEILLE,44,,,0
326083490,VANDAL ALINE & AMABILE LUCIE,52.2E,,MARSEILLE,44,,,0
326083516,SMEI SOC MEDITER ELECTRO INFOR,29.14,,MARSEILLE,44,,,0
326083540,L ANDALOUSE,68.20B,,MARSEILLE 14,52,,,0
326095601,,43.32A,,AIX-EN-PROVENCE,43,,,0
326095957,,96.02A,,MARSEILLE,62,,,0
326125507,SOCIETE DE BROYAGE MEDITERRANEEN,56.01,,MARSEILLE,43,,,0
326133576,,19.3Z,,MARSEILLE,44,,,0
326137528,,86.22C,,MARSEILLE,44,,,0
326137569,,69.10Z,,MARSEILLE,45,,,0
326154218,,47.21Z,,MARSEILLE,44,,,0
326154242,,62.46,,MARSEILLE,44,,,0
326154259,,85.51Z,,MARSEILLE,44,,,0
326154267,,86.90D,,MARSEILLE,43,,,0
326159555,SARL LE MARENGO,56.30Z,6-9,MARSEILLE,44,,,0
326174133,,66.02,,MARSEILLE 11EME,43,,,0
326174141,,43.34Z,,MARSEILLE,43,,,0
326174208,,74.1J,,AIX-EN-PROVENCE,43,,,0
326180544,SOCIETE MEDITERRANEENNE DE NETTOIEMENT,38.11Z,1000-1999,MARSEILLE,65,,,0
326191723,BARTHELEMY CASH,46.39B,,MARSEILLE 15,44,,,0
326191731,PHS VOYAGES,79.12Z,,MARSEILLE,44,,,0
326191764,LE PRESTIGE DE LA CERAMIQUE SARL,59.08,,MARSEILLE 8,126,,,0
326226115,BIGNON LEBRAY ET ASSOCIES,69.10Z,50-99,AIX-EN-PROVENCE,44,,,0
326235512,,51.10,,AIX-EN-PROVENCE,43,,,0
326235520,,49.32Z,,AIX-EN-PROVENCE,43,,,0
326236056,,43.34Z,,MARSEILLE,43,,,0
326236163,,55.70,,MARSEILLE,43,,,0
326244118,,64.11,,MARSEILLE,43,,,0
326244324,,84.12,,MARSEILLE,126,,,0
326258928,SCI ALPHEE,68.20B,,MARSEILLE 7,43,,,0
326287950,,65.06,,AIX-EN-PROVENCE,43,,,0
326298056,NICK'HOUSE,64.49,,MARSEILLE 11,43,,,0
326317989,,62.11,,MARSEILLE,126,,,0
326329489,SO FRA VIANDE,57.04,,AIX EN PROVENCE,43,,,0
326334133,,60.10,,AIX-EN-PROVENCE,126,,,0
326334489,,69.10Z,,MARSEILLE,45,,,0
326334562,,84.10,,MARSEILLE,126,,,0
326334588,,74.90B,,MARSEILLE,126,,,0
326334646,,74.90A,,MARSEILLE,43,,,0
326354289,BGA BUREAU DE GESTION D'ARTISA,77.14,,MARSEILLE,43,,,0
326365715,PHOTOCOMPOSITION RIVE NEUVE,51.10,,MARSEILLE 1,43,,,0
326369808,,64.25,,MARSEILLE,126,,,0
326384625,,67.01,,MARSEILLE,44,,,0
326431137,IDAI PRODUCTIONS,51.30,,MARSEILLE 6,43,,,0
326435062,,64.11,,MARSEILLE,126,,,0
326449477,,47.21Z,,MARSEILLE,43,,,0
326449519,,86.21Z,,MARSEILLE,43,,,0
326449659,,84.12,,MARSEILLE,126,,,0
326462066,KIT COUTURE,47.04,,AIX-EN-PROVENCE,43,,,0
326462090,SOCIETE AIXOISE DE CONFECTION,47.01,,AIX-EN-PROVENCE,43,,,0
326462496,SCI MAG DEUX,41.10D,,MARSEILLE 3,44,,,0
326483500,,62.41,,MARSEILLE,44,,,0
326494523,LANCON,77.11,,AIX-EN-PROVENCE,43,,,0
326496320,,00.10,,MARSEILLE,126,,,0
326496387,,64.24,,MARSEILLE,43,,,0
326496403,,86.90D,,AIX-EN-PROVENCE,44,,,0
326509825,,47.21Z,,MARSEILLE,43,,,0
326518669,CREATION MEDITERRANEE,14.19Z,50-99,MARSEILLE,43,,,0
326532652,AUTOS GESTION,65.06,,MARSEILLE,44,,,0
326555612,CHAUSSURES RENE,78.30Z,250-499,MARSEILLE,44,,,0
326566908,,67.08,,LE THOLONET,43,,,0
326567013,,55.3A,,AIX-EN-PROVENCE,43,,,0
326567054,,62.44,,MARSEILLE,126,,,0
326576469,ORTHO-PRE,47.74Z,,AIX-EN-PROVENCE,43,,,0
326579851,,86.22C,,MARSEILLE,43,,,0
326579885,,86.90D,,MARSEILLE,34,,,0
326579901,,62.45,,MARSEILLE,43,,,0
326594348,MASSIP SERVICES,50.5Z,,AIX EN PROVENCE,43,,,0
326594348,MASSIP SERVICES,50.5Z,,AIX EN PROVENCE,43,,,0
326594421,S A M D E,46.42Z,,MARSEILLE 1,43,,,0
326595428,,49.32Z,,MARSEILLE 10,43,,,0
326595469,,67.01,,MARSEILLE,126,,,0
326603073,SCI CAPDEVILLE RICHARDSON,68.20B,,MARSEILLE 8,43,,,0
326663549,,65.06,,MARSEILLE,126,,,0
326663960,,77.10,,MARSEILLE,44,,,0
326665304,,87.08,,MARSEILLE,126,,,0
326668076,,32.13Z,,MARSEILLE,43,,,0
326671286,SCI CORDEAC SUR DRAC,68.20A,,MARSEILLE 1,43,,,0
326671310,TWENTY NATANYA,52.4A,,MARSEILLE 1,43,,,0
326671906,THEATRE DE LA MER,90.01Z,1-2,MARSEILLE,44,,,0
326682697,,71.11Z,,AIX-EN-PROVENCE,44,,,0
326688660,,86.90D,,MARSEILLE,43,,,0
326688769,,69.10Z,,MARSEILLE,45,,,0
326688793,,62.46,,MARSEILLE,126,,,0
326688827,,70.22Z,,MARSEILLE,43,,,0
326688892,,74.20Z,,MARSEILLE,43,,,0
326688942,,69.20Z,,MARSEILLE,44,,,0
326688959,,74.10Z,,MARSEILLE 10,126,,,0
326688991,,38.40,,MARSEILLE,43,,,0
326696986,BONVIN,62.46,,MARSEILLE,43,,,0
326697869,SEVP SUD EST VIDEO PRODUCTIONS,58.04,,MARSEILLE 8,43,,,0
326701364,,47.89Z,,MARSEILLE,44,,,0
326702313,,68.20B,,MARSEILLE,41,,,0
326712874,VINCI-NICE,52.4E,,AIX-EN-PROVENCE,43,,,0
326721347,,50.5Z,,MARSEILLE,44,,,0
326725546,SCI JEGIDA,68.20B,,MARSEILLE 9,43,,,0
326727484,PI-ELECTRONIQUE,28.23Z,100-199,AIX-EN-PROVENCE,43,,,0
326729050,,82.19Z,,AIX-EN-PROVENCE,126,,,0
326729290,,00.10,,MARSEILLE,126,,,0
326742657,,58.12,,MARSEILLE,126,,,0
326742665,,55.71,,MARSEILLE,43,,,0
326756053,,87.03,,MARSEILLE 12,60,,,0
326756061,,77.10,,MARSEILLE,43,,,0
326758695,,64.47,,MARSEILLE,44,,,0
326765344,SARL DON CARLO,55.3B,,AIX-EN-PROVENCE,43,,,0
326782190,GROUPE REALITES,70.22Z,,MARSEILLE 1,43,,,0
326791589,PROCURE MISSION DU LEVANT,94.91Z,,MARSEILLE 12EME,43,,,0
326805090,,52.4Y,,MARSEILLE,126,,,0
326806122,,81.21,,MARSEILLE,44,,,0
326806163,,64.23,,MARSEILLE,126,,,0
326815826,SCI LES OLIVIERS,70.2C,,AIX-EN-PROVENCE,48,,,0
326820065,SOPRA STERIA GROUP,62.02A,10000+,AIX-EN-PROVENCE,58,,,0
326823978,,74.90B,,AIX-EN-PROVENCE,43,,,0
326824018,,43.33Z,,AIX-EN-PROVENCE,43,,,0
326825080,,55.60,,MARSEILLE,43,,,0
326832185,AUX 3 DELICES,68.20B,,MARSEILLE 14,43,,,0
326837259,,86.22C,,MARSEILLE 4EME,43,,,0
326842333,POITOU CHARENTES RESTAURATION,55.1A,,MARSEILLE 9,43,,,0
326842937,FRANCAISE DE VETEMENTS,47.01,,MARSEILLE,43,,,0
326844404,,67.04,,MARSEILLE 2EME,43,,,0
326856549,,64.11,,MARSEILLE,43,,,0
326879707,,02.40Z,,MARSEILLE,43,,,0
326879764,,55.4B,,AIX-EN-PROVENCE,43,,,0
326888559,SODIREMO SOC DIFF REST MODERNE,52.1A,,MARSEILLE 2,43,,,0
326888914,LOCA VIDEO ET COMPUTER,64.24,,MARSEILLE 6,43,,,0
326894698,,86.21Z,,LE THOLONET,43,,,0
326926136,,47.89Z,,MARSEILLE,43,,,0
326938941,,81.21Z,,MARSEILLE,43,,,0
326938941,,81.21Z,,AIX-EN-PROVENCE,43,,,0
326941598,SAMENAR,64.20Z,,MARSEILLE 6,43,,,0
326942133,SOCIETE TEINT'MOD,52.4C,,MARSEILLE 11,43,,,0
326942166,ELECTRA VOYAGES,79.11Z,,MARSEILLE,43,,,0
326942190,GAM CONFECTION  EQUATEUR,47.71Z,6-9,MARSEILLE,43,,,0
326945813,,67.04,,MARSEILLE,43,,,0
326945862,,55.60,,MARSEILLE 15EME,126,,,0
326947165,,18.13Z,,MARSEILLE,30,,,0
326947280,,60.2E,,MARSEILLE,43,,,0
326953221,GALLAND LAI DI MARTINO,67.05,,MARSEILLE,47,,,0
326969961,,68.20B,,MARSEILLE,43,,,0
326984960,,47.89Z,,MARSEILLE,44,,,0
326991478,PRESSE CONTACT CULTURE,77.14,,MARSEILLE 1,43,,,0
326991528,OLINN SERVICES,77.11B,10-19,AIX-EN-PROVENCE,43,,,1
327015764,JEAN-MARIE,96.02A,,AIX-EN-PROVENCE,43,,,0
327015848,SOCIETE ABB SERVICES,74.8F,,AIX-EN-PROVENCE,43,,,0
327019691,,47.01,,MARSEILLE,43,,,0
327019717,,49.32Z,,MARSEILLE,43,,,0
327021549,,62.46,,MARSEILLE,43,,,0
327033593,INTER DEPANNAGE,66.02,,MARSEILLE 5,43,,,0
327037222,,68.31Z,,MARSEILLE,43,,,0
327038147,,96.02B,,MARSEILLE,43,,,0
327038428,,68.20B,,MARSEILLE,43,,,0
327038451,,64.43,,MARSEILLE,126,,,0
327049524,,86.90E,,MARSEILLE,43,,,0
327061057,LE GALIBOT PUBLIC CONSEIL,74.4A,,SAINT-MARC-JAUMEGARDE,43,,,0
327069282,MAINTELEC,33.13Z,10-19,MARSEILLE,43,,,0
327088480,,55.60,,MARSEILLE,43,,,0
327089215,,60.2E,,MARSEILLE,43,,,0
327099453,,50.2Z,,MARSEILLE,43,,,0
327100350,,47.71Z,,MARSEILLE,43,,,0
327103115,,74.1J,,MARSEILLE,25,,,0
327116331,,69.23,,MARSEILLE,126,,,0
327125878,ALLOPNEUS,45.32Z,100-199,AIX-EN-PROVENCE,43,,,0
327126827,FITNESS PARK SUCCURSALES,93.13Z,50-99,MARSEILLE,43,,,0
327129862,,67.01,,MARSEILLE,43,,,0
327136412,ROME BIJOUX,64.45,,MARSEILLE 6,43,,,0
327156089,,64.22,,MARSEILLE,43,,,0
327156766,,55.71,,AIX-EN-PROVENCE,126,,,0
327157095,,62.41,,MARSEILLE,43,,,0
327157129,,50.2Z,,MARSEILLE,62,,,0
327160131,,45.20A,,MARSEILLE,43,,,0
327167441,LES THEATRES DE CUISINE,90.01Z,1-2,MARSEILLE,43,,,0
327169371,,67.01,,MARSEILLE,126,,,0
327171229,,64.46,,MARSEILLE,126,,,0
327183331,SARL MENAGER,65.02,,MARSEILLE 14,44,,,0
327184594,,33.12Z,,MARSEILLE,30,,,0
327184651,,73.11Z,,AIX EN PROVENCE,43,,,0
327185070,,69.10Z,,AIX-EN-PROVENCE,43,,,0
327185773,,67.01,,MARSEILLE,43,,,0
327191680,KORDA,95.12Z,10-19,MARSEILLE,43,,,0
327204574,PLANCHARD J SMAL S,45.3E,,MARSEILLE,43,,,0
327221297,,55.60,,MARSEILLE 10,43,,,0
327222048,,64.11,,MARSEILLE,43,,,0
327232369,SOCIETE MARSEILLAISE DE VIANDES,62.43,,MARSEILLE,43,,,0
327238341,,64.49,,MARSEILLE,126,,,0
327239018,,47.89Z,,AIX-EN-PROVENCE,22,,,0
327239471,,50.2Z,,MARSEILLE,62,,,0
327253449,INTER-CONSTRUCTIONS,55.60,,MARSEILLE,43,,,0
327253506,SCI DU 79 BD DE ST LOUP,68.20B,,MARSEILLE,43,,,0
327253514,MARSEILLE SUD,68.20B,,MARSEILLE,43,,,0
327257630,BECLI,74.2C,,MARSEILLE,43,,,0
327260782,,86.90D,,MARSEILLE,44,,,0
327261186,,86.23Z,1-2,AIX-EN-PROVENCE,43,,,0
327267746,DIFFUSION INFORMATION PUBLICITE,74.4A,,MARSEILLE,43,,,0
327268801,SOCIETE BEAUFOUR DISTRIBUTION,47.30Z,,MARSEILLE 11EME,43,,,0
327268801,SOCIETE BEAUFOUR DISTRIBUTION,47.30Z,,MARSEILLE,43,,,0
327268801,SOCIETE BEAUFOUR DISTRIBUTION,47.30Z,,MARSEILLE,43,,,0
327268801,SOCIETE BEAUFOUR DISTRIBUTION,47.30Z,,AIX EN PROVENCE,43,,,0
327268801,SOCIETE BEAUFOUR DISTRIBUTION,47.30Z,,MARSEILLE,43,,,0
327277539,,55.60,,MARSEILLE,43,,,0
327297008,SCM DANS LE MOUVEMENT,82.19Z,1-2,MARSEILLE,48,,,0
327297206,SCI LA PRECIEUSE,68.20B,,MARSEILLE,43,,,0
327300802,,69.10Z,,AIX-EN-PROVENCE,55,,,0
327302204,,52.4R,,MARSEILLE,43,,,0
327302261,,86.10,,MARSEILLE,43,,,0
327302279,,70.3A,,MARSEILLE,43,,,0
327302329,,86.90E,,MARSEILLE,43,,,0
327308805,TRAVAUX REALISATIONS COORDINATIONS,55.73,,MARSEILLE,43,,,0
327325262,REMISE INTERNATIONAL CARD,74.8K,,AIX EN PROVENCE,43,,,0
327331989,,71.20B,,MARSEILLE,43,,,0
327334850,ASSOC REGIONALE CREATION ARTISTIQUE,90.04Z,,MARSEILLE,43,,,0
327339347,,52.4C,,AIX-EN-PROVENCE,43,,,0
327340733,,67.01,,MARSEILLE,126,,,0
327342473,,86.21Z,,MARSEILLE,25,,,0
327343513,,69.10Z,,AIX-EN-PROVENCE,43,,,0
327343554,,55.73,,MARSEILLE,43,,,0
327355327,VIFACI L,88.10A,50-99,MARSEILLE,46,,,0
327362570,,77.10,,MARSEILLE,126,,,0
327363198,,62.46,,MARSEILLE,126,,,0
327363628,,56.10A,,MARSEILLE,43,,,0
327371548,SARL PROVENCE AFRIQUE EXPORT,60.04,,MARSEILLE,43,,,0
327371605,CTRE RECHER & APPLIC ALTER TECH MILIE RU,77.02,,AIX-EN-PROVENCE,43,,,0
327373031,POLYFORM,51.4S,,MARSEILLE,43,,,0
327373270,SOCIETE DES LOISIRS DU PRADO,74.09,,MARSEILLE 8,43,,,0
327373288,LES BUREAUX DU CADEREAU,79.06,,MARSEILLE,43,,,0
327373320,LE RATELIER,52.2G,,MARSEILLE 8,43,,,0
327374260,NATOA,44.42,,MARSEILLE,43,,,0
327399689,,47.79Z,,MARSEILLE,43,,,0
327400206,,62.11,,MARSEILLE,43,,,0
327414447,,47.04,,MARSEILLE,43,,,0
327414496,,86.90D,,MARSEILLE,43,,,0
327414512,,70.22Z,,MARSEILLE,43,,,0
327426029,,62.46,,MARSEILLE,43,,,0
327434973,TELE SOLLIERS,95.21Z,,MARSEILLE 12,48,,,0
327435004,PARIS CHAVE,52.4C,,MARSEILLE 5,43,,,0
327435046,SARL HYGIENETT,74.7Z,,MARSEILLE,43,,,0
327435061,UNIVERSAL SHOW AGENCY PRODUCTIONS,92.3A,,MARSEILLE,43,,,0
327457586,CANET ANDRE ET GOUIRAN GILBERT,45.2V,,MARSEILLE 12,43,,,0
327461992,,52.2C,,MARSEILLE,62,,,0
327462206,,69.10Z,,AIX-EN-PROVENCE,43,,,0
327472361,,62.41,,MARSEILLE,43,,,0
327473583,,45.2V,,MARSEILLE 8EME,43,,,0
327482089,,65.01,,MARSEILLE,43,,,0
327482139,,52.2A,,MARSEILLE,126,,,0
327482162,,86.21Z,,MARSEILLE,43,,,0
327482261,,67.03,,MARSEILLE,126,,,0
327482352,,43.34Z,3-5,MARSEILLE,43,,,0
327489282,METRONET,87.01,,MARSEILLE 1,43,,,0
327489779,SACORILA,68.20B,,MARSEILLE,43,,,0
327489795,ATELIER DE SAINT CANNAT,38.32Z,3-5,AIX-EN-PROVENCE,43,,,0
327492534,LIEUX PUBLICS,90.01Z,20-49,MARSEILLE,43,,,0
327513263,,86.90D,,MARSEILLE,43,,,0
327513990,,69.10Z,1-2,MARSEILLE,43,,,0
327514022,,65.06,,MARSEILLE,43,,,0
327518015,,84.12,,MARSEILLE,43,,,0
327542049,CINEMAZARIN,59.14Z,6-9,AIX-EN-PROVENCE,43,,,1
327543096,PINK TRADE FRANCE,52.4H,,MARSEILLE 11EME,43,,,0
327544987,SCI LA DOUNA,68.20B,,MARSEILLE 7,43,,,0
327546263,JM PEINTURES,70.2C,,AIX-EN-PROVENCE,43,,,0
327547162,,56.10C,,AIX-EN-PROVENCE,43,,,0
327548350,,66.22Z,,MARSEILLE,43,,,0
327548350,,66.22Z,,MARSEILLE,43,,,0
327548681,,87.04,,MARSEILLE 13,126,,,0
327574208,,86.90D,,MARSEILLE,43,,,0
327575221,,69.10Z,,MARSEILLE,43,,,0
327580676,DIALOGUE RCM RADIO CHRETI MARS,60.10Z,3-5,MARSEILLE,43,,,0
327583993,,55.60,,MARSEILLE,126,,,0
327584041,,67.04,,MARSEILLE 13EME,126,,,0
327584066,,68.20B,,MARSEILLE,44,,,0
327611406,PRINCESSE TAM TAM,14.14Z,250-499,MARSEILLE,43,,,0
327633996,,71.11Z,,MARSEILLE,43,,,0
327646493,,55.4B,,MARSEILLE,43,,,0
327646592,,52.2P,,MARSEILLE,43,,,0
327676987,,15.03,,AIX-EN-PROVENCE,43,,,0
327684262,LE CINEMA DU SOLEIL,59.14Z,,MARSEILLE,43,,,0
327688347,,96.02A,,MARSEILLE,58,,,0
327695730,DANY DAN,58.06,,MARSEILLE,44,,,0
327710745,,64.11,,MARSEILLE,43,,,0
327716379,SOCIETE PILATE CONSTRUCTION,55.60,,AIX-EN-PROVENCE,43,,,0
327716437,SOC ADDUCTION EAU ASSAINISSEMENT BATIMEN,45.1A,,AIX-EN-PROVENCE,43,,,0
327718672,SUD EST INFORMATIQUE,59.11,,MARSEILLE,43,,,0
327719456,,86.22C,,MARSEILLE,43,,,0
327719969,,69.10Z,,AIX-EN-PROVENCE,43,,,0
327719985,,86.21Z,,AIX EN PROVENCE,43,,,0
327720959,,55.60,,MARSEILLE,43,,,0
327727582,,86.23Z,,MARSEILLE,43,,,0
327747879,,74.90A,,AIX-EN-PROVENCE,28,,,0
327748786,,47.82Z,,MARSEILLE,43,,,0
327753281,BELFOR (FRANCE),39.00Z,100-199,MARSEILLE,43,,,0
327755120,SNC M. GALMICHE H. BEN HOCINE,64.49,,MARSEILLE 2,43,,,0
327768545,,69.10Z,,MARSEILLE,44,,,0
327772802,SCI LA BAIE DES ANGES II,68.20B,,AIX-EN-PROVENCE,43,,,0
327785564,ANIMATION DE GROUPE INDEPENDANTS REUNIS,58.03,,MARSEILLE 13,43,,,0
327798823,,51.4C,,MARSEILLE,43,,,0
327798898,,62.43,,MARSEILLE,43,,,0
327803441,,74.20Z,,MARSEILLE 8EME,26,,,0
327806931,NET 3000,81.21Z,10-19,AIX-EN-PROVENCE,43,,,0
327822359,QUATRE QUART,67.01,,AIX-EN-PROVENCE,43,,,0
327822417,SAAS SOC AIXOISE ASSIST SURV,77.14,,AIX EN PROVENCE,43,,,0
327825378,,55.73,,MARSEILLE,126,,,0
327825386,,85.1C,,MARSEILLE,43,,,0
327831780,MBC MASSILIA BILLARD CLUB,93.12Z,,MARSEILLE,44,,,0
327835880,,64.14,,MARSEILLE,126,,,0
327845566,,55.40,,MARSEILLE 13,43,,,0
327846077,,38.11Z,,MARSEILLE 11EME,43,,,0
327850632,,86.21Z,,MARSEILLE,45,,,0
327860755,SOCIETE DE DIFFUSION DES INFORMELS,52.4H,,MARSEILLE 6,43,,,0
327866026,,47.99B,,MARSEILLE,22,,,0
327869590,,62.46,,MARSEILLE,126,,,0
327870242,,64.40,,MARSEILLE,126,,,0
327876991,L'EPI EPARGNE PREVOYANCE INTERNATIONALES,66.22Z,6-9,AIX EN PROVENCE,43,,,0
327881280,,55.3A,,MARSEILLE,43,,,0
327896767,,77.03,,AIX EN PROVENCE,43,,,0
327904280,,31.09B,1-2,MARSEILLE,43,,,0
327904298,,87.06,,MARSEILLE,126,,,0
327908802,MAHEVA,96.02A,,MARSEILLE 8,61,,,0
327912333,,64.46,,MARSEILLE 15,43,,,0
327918231,FONCIA TERRES DE PROVENCE,68.32A,200-249,AIX-EN-PROVENCE,43,,,0
327927810,,85.1K,,MARSEILLE,43,,,0
327929071,,86.90E,,AIX-EN-PROVENCE,43,,,0
327934568,,67.01,,SAINT-MARC-JAUMEGARDE,126,,,0
327934600,,86.90E,,MARSEILLE,43,,,0
327934626,,62.41,,MARSEILLE,126,,,0
327934790,,69.10Z,,MARSEILLE,43,,,0
327934832,,52.5Z,,MARSEILLE,43,,,0
327935029,,46.19B,,MARSEILLE,50,,,0
327935359,,69.23,,MARSEILLE 10EME,43,,,0
327943601,MERCURE,92.18,,MARSEILLE 11,43,,,0
327944468,POULAIN P CHAMATI E GODARD M JAOUA S LIBIER C,86.22C,,AIX-EN-PROVENCE,43,,,0
327952461,,68.20A,,AIX-EN-PROVENCE,43,,,0
327962239,J G ROGLIANO GROUP,63.2C,,MARSEILLE,43,,,0
327964128,,55.4B,,MARSEILLE,43,,,0
327964672,,67.04,,MARSEILLE,43,,,0
327970422,,47.01,,MARSEILLE,126,,,0
327977609,,86.21Z,,AIX-EN-PROVENCE,43,,,0
327978276,,64.43,,MARSEILLE,43,,,0
327978300,,01.62Z,,MARSEILLE,43,,,0
327984696,SCP LA TOURNERIE DU ROUCAS,41.20A,,MARSEILLE,43,,,0
327993655,,56.30Z,,AIX EN PROVENCE,43,,,0
327994414,,68.20B,,MARSEILLE,43,,,0
327997821,LE BOEUF EN SOL,70.2C,,AIX-EN-PROVENCE,43,,,0
328000039,DI MICHELI,47.71Z,,AIX-EN-PROVENCE,43,,,0
328009576,,86.90E,,MARSEILLE,43,,,0
328015037,ARLECO,74.1G,,MARSEILLE,43,,,0
328017280,,67.04,,MARSEILLE,43,,,0
328039300,,58.05,,MARSEILLE,43,,,0
328039391,,86.90D,,MARSEILLE,43,,,0
328084900,,60.2E,,MARSEILLE,43,,,0
328138326,,70.22Z,,AIX-EN-PROVENCE,43,,,0
328179312,L'ARONDE,52.4H,,MARSEILLE 13,43,,,0
328189022,,55.73,,MARSEILLE 13,126,,,0
328203641,,15.20Z,,MARSEILLE,43,,,0
328204896,,68.20B,,MARSEILLE,43,,,0
328204995,,47.05,,MARSEILLE,43,,,0
328205109,,81.21Z,,MARSEILLE,43,,,0
328224548,,55.72,,MARSEILLE,43,,,0
328225016,,15.8C,,MARSEILLE,43,,,0
328225248,,52.2P,,MARSEILLE,44,,,0
328225289,,64.47,,MARSEILLE,43,,,0
328230800,BURMATIC,68.20B,,MARSEILLE,43,,,0
328230842,JOSE AND SERGE,55.4B,,MARSEILLE,43,,,0
328231097,SARL FALZOI VINCENSINE,65.02,,MARSEILLE 14,43,,,0
328231105,SCI DU 194 AV DE LA ROSE,68.20A,,MARSEILLE 13,48,,,0
328235312,,64.43,,MARSEILLE,43,,,0
328235353,,43.22A,,MARSEILLE,43,,,0
328235379,,52.4J,,MARSEILLE,43,,,0
328235593,,43.34Z,,MARSEILLE,43,,,0
328235684,,47.89Z,,MARSEILLE,43,,,0
328242292,PRADO INVESTISSEMENT,68.31Z,,MARSEILLE,43,,,0
328242300,SNC SERRA ET COMPAGNIE,55.4A,,MARSEILLE 7,43,,,0
328242482,SCI DES ENTREPOTS UBAUD,68.20B,,MARSEILLE,43,,,1
328245873,,68.10Z,,MARSEILLE,43,,,0
328246152,,64.11,,MARSEILLE,43,,,0
328246228,,15.8C,,MARSEILLE,43,,,0
328255583,,56.10C,,AIX-EN-PROVENCE,43,,,0
328255666,,55.72,,MARSEILLE,43,,,0
328255815,,02.20,,MARSEILLE,126,,,0
328274535,RAYMOND BAT,74.3B,,MARSEILLE 14EME,43,,,0
328274923,SEE SERGE ELBEZ CASH SERVICE,62.11,,LE THOLONET,43,,,0
328277785,,77.10,,MARSEILLE,44,,,0
328288816,,55.60,,MARSEILLE,43,,,0
328289541,,35.11Z,,MARSEILLE 13,126,,,0
328289590,,47.81Z,,MARSEILLE,43,,,0
328299813,,64.43,,MARSEILLE,43,,,0
328300926,,70.22Z,,MARSEILLE,29,,,0
328310552,,69.11,,MARSEILLE,43,,,0
328312095,,68.20B,,MARSEILLE,80,,,0
328323464,,86.22C,,MARSEILLE,43,,,0
328323522,,86.90E,,MARSEILLE,43,,,0
328323605,,68.20A,,MARSEILLE,43,,,0
328323639,,86.21Z,,MARSEILLE,43,,,0
328333810,,55.3A,,MARSEILLE 11EME,43,,,0
328334545,,95.22Z,,MARSEILLE,54,,,0
328338652,ASSOCIATION JAM AIX,90.01Z,,AIX-EN-PROVENCE,43,,,0
